Registration Date,Participant Constituent ID,Participant Donor Status,Is Prior Participant,Is Team Captain,Team ID,Participation Type Name,Participant Gender,Age,Address  -  Participant ZIP/Postal Code,Please choose the closest affiliation you have ...,Facebook Fundraiser ID,Self Donor,Total of All Confirmed Gifts($),All Confirmed Gifts,Total From Participant($),Unique Donors,Recruited Participants Count,Emails Sent,Discount Code Used             
6/7/19,1130872,Unknown,Yes,FALSE,4788,Run/Walk Youth (11 & Under)  - early bird,Female,14,91709-4557,,,TRUE,$0.00,0,$0.00,0,0,0,
6/7/19,1130875,Unknown,Yes,FALSE,4788,Run/Walk Youth (11 & Under)  - early bird,Female,13,91709-4557,,,TRUE,$0.00,0,$0.00,0,0,0,
6/8/19,1139745,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Male,38,93065-5901,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/8/19,1139744,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,66,93065-5901,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/10/19,1154170,Donor,N/A,FALSE,,Run/Walk Registration - early bird,Female,66,91001-1922,I know someone with cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/17/19,1154504,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,64,90250-5044,I lost a loved one to pancreatic cancer,,TRUE,$22.00,1,$22.00,1,0,0,
6/17/19,1129999,Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Female,53,92832-1629,I have a family member with pancreatic cancer,TRUE,TRUE,"$1,120.00",23,$0.00,23,1,148,
6/19/19,1104824,Donor,Yes,FALSE,4789,Run/Walk Registration - early bird,Female,36,33626-2511,I lost a loved one to pancreatic cancer,,TRUE,$75.00,1,$75.00,1,0,0,
6/19/19,1108758,Donor,Yes,TRUE,4818,Run/Walk Registration - early bird,Female,58,91423-4009,I lost a loved one to pancreatic cancer,,TRUE,$500.00,6,$175.00,6,3,35,
6/19/19,1139919,Donor,Yes,TRUE,4819,Run/Walk Registration - early bird,Male,48,90035-1398,I lost a loved one to pancreatic cancer,TRUE,TRUE,"$9,023.00",63,$150.00,63,5,4376,
6/19/19,1152732,Donor,Yes,FALSE,5069,Run/Walk Registration - early bird,Female,61,91390-5234,I am a running enthusiast,,TRUE,$0.00,0,$0.00,1,0,0,
6/19/19,1139515,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,65,91367-1152,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/20/19,1154656,Donor,N/A,TRUE,4821,Run/Walk Registration - early bird,Female,41,91367-6569,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/24/19,1158385,Donor,Yes,TRUE,4828,Run/Walk Registration - early bird,Male,65,90232-2775,I lost a loved one to pancreatic cancer,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
6/24/19,1157136,Donor,Yes,FALSE,4828,Run/Walk Registration - early bird,Female,48,90266-2503,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/24/19,1086075,Donor,Yes,FALSE,4828,Run/Walk Registration - early bird,Male,53,90502-1361,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/24/19,1157137,Donor,Yes,FALSE,4828,Run/Walk Registration - early bird,Female,21,90266-2503,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/24/19,1157138,Donor,Yes,FALSE,4828,Run/Walk Registration - early bird,Male,19,90266-2503,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/24/19,1057913,Donor,Yes,FALSE,4828,Run/Walk Registration - early bird,Female,17,90266-2503,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/24/19,1057919,Donor,Yes,FALSE,4828,Run/Walk Registration - early bird,Male,13,90502-1361,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/24/19,1079191,Donor,Yes,FALSE,4828,Run/Walk Registration - early bird,Female,71,90254-2131,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/25/19,1047705,Donor,Yes,TRUE,4830,Run/Walk Registration - early bird,Male,66,90293-7963,I lost a loved one to pancreatic cancer,,TRUE,"$33,021.00",55,"$7,710.00",51,2,0,
6/26/19,1089397,Donor,N/A,TRUE,4832,Run/Walk Registration - early bird,Male,43,90278-2822,I lost a loved one to pancreatic cancer,,TRUE,$100.00,1,$100.00,1,0,0,
6/27/19,1046054,Donor,N/A,FALSE,4832,Run/Walk Registration - early bird,Male,43,68801-8535,I am a member of the medical community,,TRUE,$0.00,0,$0.00,1,0,0,
6/28/19,1155012,Donor,N/A,FALSE,,Run/Walk Registration - early bird,Male,46,90047-1820,I have lost someone to cancer,TRUE,TRUE,$250.00,7,$5.00,7,0,0,
6/29/19,1142038,Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Female,78,92507-4042,I have a family member with pancreatic cancer,,TRUE,$100.00,1,$100.00,1,0,0,
6/30/19,1140831,Unknown,Yes,FALSE,4789,Run/Walk Registration - early bird,Female,53,92610-1924,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
6/30/19,1107982,Donor,Yes,FALSE,4789,Run/Walk Registration - early bird,Female,42,92610-1924,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/1/19,1082779,Donor,N/A,TRUE,4840,Run/Walk Registration - early bird,Female,63,91302-2536,I have a family member with pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,16,
7/2/19,1244338,Unknown,Yes,FALSE,4841,Run/Walk Registration - early bird,Female,52,90025-5916,,,TRUE,$0.00,0,$0.00,0,0,0,
7/2/19,1040204,Donor,Yes,TRUE,4841,Run/Walk Registration - early bird,Male,51,90025-5916,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/2/19,1244340,Unknown,Yes,FALSE,4841,Run/Walk Registration - early bird,Female,19,90025-5916,,,TRUE,$0.00,0,$0.00,0,0,0,
7/2/19,1244339,Unknown,Yes,FALSE,4841,Run/Walk Registration - early bird,Male,16,90025-5916,,,TRUE,$0.00,0,$0.00,0,0,0,
7/8/19,1090089,Donor,Yes,TRUE,4849,Run/Walk Registration - early bird,Female,36,90024-5428,I am a member of the medical community,,TRUE,$350.00,2,$0.00,3,1,0,
7/9/19,1155209,Donor,N/A,FALSE,4849,Run/Walk Registration - early bird,Female,31,91360-7323,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/9/19,1155210,Donor,N/A,FALSE,4849,Run/Walk Registration - early bird,Male,28,90028-6913,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,2,
7/9/19,1155208,Donor,N/A,FALSE,4849,Run/Walk Registration - early bird,Female,29,91423-4059,I am a running enthusiast,,TRUE,$0.00,0,$0.00,1,0,0,
7/9/19,1155211,Donor,N/A,FALSE,4849,Run/Walk Registration - early bird,Male,30,90026-4632,I am a member of the medical community,,TRUE,$0.00,0,$0.00,1,0,0,
7/11/19,1115053,Indirect Donor,N/A,FALSE,4840,Run/Walk Registration - early bird,Male,65,92211-3237,I have lost someone to cancer,,TRUE,$22.00,1,$22.00,1,0,0,
7/12/19,1155280,Donor,N/A,FALSE,4840,Run/Walk Registration - early bird,Male,29,91302-2536,I have a family member with pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/12/19,1128006,Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Female,50,91750-2432,I have a family member with pancreatic cancer,,TRUE,$50.00,1,$0.00,2,0,0,
7/12/19,1239014,Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Male,80,91750-1730,I have a family member with pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/13/19,1126138,Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Male,76,91750-2911,I have a friend with pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
7/13/19,1126136,Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Female,65,91750-2911,I have a friend with pancreatic cancer,,TRUE,$35.00,2,$35.00,1,0,0,
7/13/19,1113739,Unknown,Yes,FALSE,4818,Run/Walk Registration - early bird,Male,66,91423-4009,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
7/13/19,1243134,Unknown,Yes,FALSE,4818,Run/Walk Youth (11 & Under)  - early bird,Female,12,91423-4009,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/15/19,1116758,Donor,N/A,FALSE,,Run/Walk Registration - early bird,Female,65,91001-3030,I have lost someone to cancer,TRUE,TRUE,$65.00,2,$0.00,3,0,0,
7/15/19,1245899,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,43,90230-5504,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/17/19,1139509,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,73,90249-4029,I am a running enthusiast,,TRUE,$0.00,0,$0.00,1,0,0,
7/19/19,1104604,Donor,Yes,FALSE,4789,Run/Walk Registration - early bird,Male,45,91501-1732,I have lost someone to cancer,,TRUE,$22.00,1,$22.00,1,1,0,
7/20/19,1115504,Donor,Yes,FALSE,4789,Run/Walk Registration - early bird,Female,44,91501-1910,I know someone with cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/20/19,1246451,Unknown,N/A,FALSE,4789,Run/Walk Registration - early bird,Male,37,91302-3410,I know someone with cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/20/19,1155388,Donor,N/A,FALSE,4789,Run/Walk Registration - early bird,Female,36,91302-3410,User Provided No Response,,TRUE,$0.00,0,$0.00,0,0,0,
7/20/19,1155389,Donor,N/A,FALSE,4789,Run/Walk Registration - early bird,Male,40,90034-6857,User Provided No Response,,TRUE,$0.00,0,$0.00,1,0,0,
7/22/19,1054902,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,70,90049-2722,Other,,TRUE,$0.00,0,$0.00,1,0,0,
7/22/19,1054918,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Male,77,90049-2722,User Provided No Response,,TRUE,$500.00,1,$0.00,2,0,0,
7/24/19,1155460,Unknown,N/A,FALSE,,Run/Walk Registration - early bird,Male,32,90640-5840,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,0,0,0,
7/24/19,1155459,Donor,N/A,FALSE,,Run/Walk Registration - early bird,Female,31,90640-5840,I have lost someone to cancer,,TRUE,$20.00,1,$20.00,1,0,0,
7/24/19,1066833,Indirect Donor,Yes,FALSE,4871,Run/Walk Registration - early bird,Female,75,90277-4635,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,TRUE
7/24/19,1141885,Indirect Donor,Yes,FALSE,4871,Run/Walk Registration - early bird,Male,43,90277-2213,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,TRUE
7/24/19,1182868,Donor,Yes,TRUE,4871,Run/Walk Registration - early bird,Female,41,90277-2213,I lost a loved one to pancreatic cancer,,TRUE,"$1,400.00",10,$250.00,10,0,0,TRUE
7/24/19,1155462,Donor,N/A,FALSE,,Run/Walk Registration - early bird,Female,64,92329-1167,I have lost someone to cancer,,TRUE,$5.00,1,$5.00,1,0,0,TRUE
7/25/19,1128565,Donor,Yes,TRUE,4874,Run/Walk Registration - early bird,Female,53,91308-4196,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,TRUE
7/25/19,1247428,Unknown,Yes,FALSE,4874,Run/Walk Registration - early bird,Male,22,91308-4196,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,TRUE
7/25/19,1091380,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Male,84,91030-3220,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/26/19,1155360,Donor,N/A,FALSE,4789,Run/Walk Registration - early bird,Male,64,90024-3001,I have a friend with pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/26/19,1011169,Donor,Yes,FALSE,4830,Run/Walk Registration - early bird,Female,72,90046-1023,I lost a loved one to pancreatic cancer,TRUE,TRUE,$345.00,7,$0.00,8,0,0,
7/26/19,1068972,Donor,Yes,FALSE,4830,Run/Walk Registration - early bird,Male,70,90046-1023,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,0,0,0,
7/27/19,1016825,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Male,66,90503-9134,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/27/19,1155555,Unknown,N/A,FALSE,4871,Run/Walk Registration - early bird,Male,36,90230-6746,I have a family member with pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,TRUE
7/27/19,1106817,Donor,N/A,FALSE,4871,Run/Walk Registration - early bird,Female,36,90012-3122,I lost a loved one to pancreatic cancer,,TRUE,$22.00,1,$22.00,1,0,0,TRUE
7/28/19,1131162,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,44,90020-3731,I know someone with cancer,,TRUE,$22.00,1,$22.00,1,0,0,
7/28/19,1170418,Donor,N/A,FALSE,4874,Run/Walk Registration - early bird,Male,88,91304-5369,I lost a loved one to pancreatic cancer,,TRUE,$60.00,1,$60.00,1,0,0,
7/28/19,1140612,Unknown,Yes,FALSE,4790,Run/Walk Registration - early bird,Female,80,91103-1260,I know someone with cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/28/19,1178891,Donor,Yes,FALSE,4790,Run/Walk Registration - early bird,Male,78,91103-1260,I have a friend with pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
7/29/19,1246866,Unknown,Yes,TRUE,4878,Run/Walk Registration - early bird,Male,17,90049-4111,I lost a loved one to pancreatic cancer,,TRUE,"$23,375.00",13,$0.00,14,0,1505,
7/29/19,1129019,Donor,Yes,FALSE,4790,Run/Walk Registration - early bird,Female,53,90405-5151,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,0,TRUE
7/30/19,1056772,Donor,Yes,FALSE,4878,Run/Walk Registration - early bird,Male,55,90212-3851,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/30/19,1215568,Donor,Yes,FALSE,4878,Run/Walk Registration - early bird,Male,32,90042-4236,,,TRUE,$100.00,1,$0.00,1,0,0,
7/30/19,1214559,Donor,Yes,FALSE,4878,Run/Walk Registration - early bird,Male,29,90036-4065,,,TRUE,$100.00,1,$0.00,1,0,0,
7/30/19,1155664,Donor,N/A,FALSE,4878,Run/Walk Registration - early bird,Female,61,,I lost a loved one to pancreatic cancer,,TRUE,$210.00,1,$210.00,1,0,0,
7/30/19,1155258,Donor,N/A,FALSE,4832,Run/Walk Registration - early bird,Male,34,93619-5162,I know someone with cancer,,TRUE,$0.00,0,$0.00,1,0,0,
7/31/19,1155728,Donor,Yes,FALSE,4830,Run/Walk Registration - early bird,Female,66,91354-2359,I lost a loved one to pancreatic cancer,TRUE,TRUE,"$1,087.00",22,$97.00,22,0,0,
7/31/19,1173817,Unknown,Yes,FALSE,4830,Run/Walk Registration - early bird,Male,77,91354-2359,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
7/31/19,1106119,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,67,90250-6534,I lost a loved one to pancreatic cancer,,TRUE,$22.00,1,$22.00,1,0,0,
8/1/19,1044760,Donor,Yes,TRUE,4883,Run/Walk Registration - early bird,Female,57,91601-2015,I lost a loved one to pancreatic cancer,TRUE,TRUE,$155.00,6,$0.00,7,0,0,
8/1/19,1243996,Unknown,Yes,FALSE,4790,Run/Walk Registration - early bird,Male,77,91311-1514,I know someone with cancer,,TRUE,$0.00,0,$0.00,0,0,0,
8/1/19,1178837,Donor,Yes,FALSE,4790,Run/Walk Registration - early bird,Female,70,91311-1514,I have lost someone to cancer,,TRUE,$22.00,1,$22.00,1,0,0,
8/1/19,1155801,Unknown,N/A,FALSE,4790,Run/Walk Youth (11 & Under)  - early bird,Male,15,91311-1514,I know someone with cancer,,TRUE,$0.00,0,$0.00,0,0,0,
8/1/19,1155803,Donor,N/A,FALSE,4790,Run/Walk Youth (11 & Under)  - early bird,Male,13,91311-1514,I know someone with cancer,,TRUE,$0.00,0,$0.00,0,0,0,
8/1/19,1155817,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,66,91354-2255,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
8/2/19,1002805,Donor,Yes,TRUE,4885,Run/Walk Registration - early bird,Male,58,90019-1530,I lost a loved one to pancreatic cancer,,TRUE,"$1,285.00",3,"$1,260.00",2,1,0,
8/2/19,1002981,Donor,Yes,FALSE,4830,Run/Walk Registration - early bird,Female,63,03452-5121,I lost a loved one to pancreatic cancer,,TRUE,"$1,270.00",21,$0.00,22,0,0,
8/2/19,1171897,Donor,Yes,FALSE,4830,Run/Walk Registration - early bird,Male,68,03452-5121,,,TRUE,$0.00,0,$0.00,1,0,0,
8/3/19,1114826,Donor,N/A,FALSE,,Run/Walk Registration - early bird,Female,50,90221-2825,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,0,
8/4/19,1078530,Donor,Yes,TRUE,4887,Run/Walk Registration - early bird,Female,47,90803-5647,I lost a loved one to pancreatic cancer,,TRUE,$592.00,7,$22.00,7,2,16,
8/4/19,1068859,Donor,Yes,FALSE,4887,Run/Walk Registration - early bird,Female,60,92683-7833,I have lost someone to cancer,,TRUE,$22.00,1,$22.00,1,0,0,
8/4/19,1078553,Donor,N/A,FALSE,4887,Run/Walk Registration - early bird,Female,74,90807-3518,I lost a loved one to pancreatic cancer,,TRUE,$820.00,11,$160.00,11,0,119,
8/4/19,1141364,Unknown,Yes,FALSE,4887,Run/Walk Registration - early bird,Male,60,90803-5647,Other,,TRUE,$100.00,1,$100.00,1,0,0,
8/5/19,1105716,Donor,Yes,TRUE,4888,Run/Walk Registration - early bird,Female,37,90260-2002,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,60,
8/6/19,1091297,Donor,Yes,FALSE,4878,Run/Walk Registration - early bird,Female,61,90278-2424,I have lost someone to cancer,,TRUE,$0.00,0,$0.00,1,0,0,
8/6/19,1074226,Donor,N/A,TRUE,4894,Run/Walk Registration - early bird,Female,68,90049-4625,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
8/6/19,1130241,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Male,77,90405-2047,I am a running enthusiast,,TRUE,$0.00,0,$0.00,1,0,0,
8/6/19,1139706,Unknown,Yes,FALSE,4896,Run/Walk Youth (11 & Under)  - early bird,Female,10,90066-3158,Other,,TRUE,$0.00,0,$0.00,0,0,0,
8/6/19,1109732,Donor,Yes,TRUE,4896,Run/Walk Registration - early bird,Female,42,75230-4250,I am a member of the medical community,,TRUE,$0.00,0,$0.00,1,0,0,
8/6/19,1172768,Unknown,Yes,FALSE,4896,Run/Walk Youth (11 & Under)  - early bird,Male,7,75230-4250,Other,,TRUE,$0.00,0,$0.00,0,0,0,
8/6/19,1155909,Donor,N/A,FALSE,,Run/Walk Registration - early bird,Male,63,90047-2015,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
8/6/19,1179202,Donor,Yes,FALSE,4878,Run/Walk Registration - early bird,Female,58,90077-1632,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
8/7/19,1044244,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,71,93291-7824,I lost a loved one to pancreatic cancer,,TRUE,"$1,070.00",3,"$1,000.00",3,0,20,
8/7/19,1079400,Donor,Yes,TRUE,4899,Run/Walk Registration - early bird,Female,42,90024-3237,I am a member of the medical community,,TRUE,$0.00,0,$0.00,1,0,2,
8/7/19,1053018,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,52,93003-5244,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
8/7/19,1106929,Donor,Yes,FALSE,4830,Run/Walk Registration - early bird,Female,57,90025-4076,I know someone with cancer,,TRUE,$0.00,0,$0.00,1,0,0,
8/8/19,1155961,Donor,N/A,FALSE,,Run/Walk Registration - early bird,Female,37,90068-4107,Other,,TRUE,$0.00,0,$0.00,1,0,0,
8/8/19,1246886,Donor,N/A,FALSE,4878,Virtual Walker/Runner,Female,73,90501-6445,I lost a loved one to pancreatic cancer,,TRUE,$200.00,1,$200.00,1,0,0,
8/9/19,1247193,Donor,N/A,TRUE,4903,Run/Walk Registration - early bird,Male,44,90210-3205,Other,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
8/9/19,1172182,Non-Donor,N/A,FALSE,4903,Run/Walk Registration - early bird,Female,29,90024-6524,I am a running enthusiast,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
8/9/19,1155987,Non-Donor,N/A,FALSE,4903,Run/Walk Registration - early bird,Female,44,90024-6524,I have a family member with pancreatic cancer,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
8/9/19,1155988,Donor,N/A,FALSE,4903,Run/Walk Registration - early bird,Male,28,90016-3931,I know someone with cancer,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
8/9/19,1155990,Donor,N/A,FALSE,4903,Run/Walk Registration - early bird,Female,28,90504-2417,I have a family member with pancreatic cancer,,TRUE,$45.00,1,$45.00,1,0,0,TRUE
8/9/19,1155989,Non-Donor,N/A,FALSE,4903,Run/Walk Registration - early bird,Female,32,90024-6524,I am a running enthusiast,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
8/9/19,1155991,Non-Donor,N/A,FALSE,4903,Run/Walk Registration - early bird,Male,33,90020-2846,User Provided No Response,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
8/9/19,1155986,Non-Donor,N/A,FALSE,4903,Run/Walk Registration - early bird,Female,32,90034-4844,I know someone with cancer,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
8/9/19,1155996,Non-Donor,N/A,FALSE,4903,Run/Walk Registration - early bird,Female,29,91340-1404,Other,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
8/9/19,1013890,Donor,Yes,FALSE,4830,Run/Walk Registration - early bird,Female,78,90046-4716,I lost a loved one to pancreatic cancer,,TRUE,$597.00,2,$597.00,1,0,0,
8/9/19,1082604,Unknown,Yes,FALSE,4830,Run/Walk Registration - early bird,Male,65,90046-4716,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
